Month,Timestamp,CA,NW,RM,SW,WMW,SC,TX,EMW,SE,NE,HI,HI-Oahu,AK
1,0,1.016,1.176,2.902,0.194,2.086,1.552,1.11,1.61,1.698,1.482,1.6165,1.7306,1.4438
1,1,0.898,1.52,2.666,1.922,2.086,1.552,1.11,1.61,1.698,1.482,1.6165,1.7306,1.4438
1,2,1.152,1.454,2.004,1.086,2.01,1.552,1.11,1.982,1.604,1.458,1.6165,1.7306,1.4438
1,3,1.162,1.454,2.666,1.452,2.01,1.552,1.11,1.982,1.604,1.458,1.6165,1.7306,1.4438
1,4,1.152,1.454,0.79,1.452,2.01,1.552,1.27,1.61,1.604,1.458,1.6165,1.7306,1.4438
1,5,1.162,1.52,2.902,1.452,2.01,1.552,1.27,1.61,1.328,1.458,1.6165,1.7306,1.4438
1,6,1.162,1.176,2.04,1.922,1.69,1.552,1.208,2.142,1.518,1.482,1.6165,1.7306,1.4438
1,7,1.132,1.176,1.222,1.086,2.01,1.7,1.22,2.142,1.518,1.482,1.6165,1.7306,1.4438
1,8,1.06,1.176,1.222,1.452,2.01,1.7,1.22,0.976,1.6,1.142,1.6165,1.7306,1.4438
1,9,1.038,1.454,2.902,1.606,2.01,1.7,1.22,0.976,1.304,1.448,1.6165,1.7306,1.4438
1,10,0.984,1.52,0.816,0.594,2.01,1.7,1.22,0.976,1.304,1.448,1.6165,1.7306,1.4438
1,11,1.038,1.454,2.902,1.398,2.01,1.7,1.22,0.976,1.304,1.142,1.6165,1.7306,1.4438
1,12,0.984,1.52,1.214,1.356,2.01,1.552,1.22,0.976,1.304,1.142,1.6165,1.7306,1.4438
1,13,1.038,1.52,0.79,1.356,2.01,1.668,1.208,0.976,1.6,1.142,1.6165,1.7306,1.4438
1,14,0.994,1.52,0.79,1.356,2.086,1.668,1.27,0.976,1.518,1.142,1.6165,1.7306,1.4438
1,15,1.132,0.794,0.79,1.398,2.086,1.668,1.27,0.976,1.6,1.448,1.6165,1.7306,1.4438
1,16,0.898,2.456,0.816,1.096,2.01,1.668,1.208,1.714,1.304,1.484,1.6165,1.7306,1.4438
1,17,0.94,1.596,1.192,1.922,2.01,1.552,1.22,1.592,1.364,1.508,1.6165,1.7306,1.4438
