City,Building,SpaceHeating,DHW,Total
Albuquerque,FastFoodRest,199.735814,76.9149868,811.136837
Albuquerque,FullServiceRest,398.5712205,235.9992545,1393.695994
Albuquerque,Hospital,8371.240777,669.3128607,10328.08359
Albuquerque,LargeHotel,2750.838226,6219.08303,10143.93464
Albuquerque,LargeOffice,3562.002395,212.9944774,3774.996872
Albuquerque,MediumOffice,47.49307973,31.97726287,79.4703426
Albuquerque,MidriseApartment,805.0965778,264.2063457,1069.302923
Albuquerque,Outpatient,2971.868562,41.20639013,3191.707314
Albuquerque,PrimarySchool,981.4176701,162.1556119,1365.685037
Albuquerque,RetailStore,755.4523907,0,755.4523907
Albuquerque,SecondarySchool,4338.227866,409.1649863,5082.343931
Albuquerque,SmallHotel,232.2194443,366.9712928,778.7819649
Albuquerque,SmallOffice,43.25360481,10.88949351,54.14309832
Albuquerque,StripMall,760.0982018,0,760.0982018
Albuquerque,Supermarket,2302.228741,22.88525618,2513.84856
Albuquerque,Warehouse,1151.250885,0,1151.250885
Albuquerque,FlatLoad,1854.437216,545.235078,2703.370786
Atlanta,FastFoodRest,168.8402371,71.33170579,774.6579791
Atlanta,FullServiceRest,379.5865464,217.4332205,1356.145286
Atlanta,Hospital,10467.65996,615.3498557,12370.53976
Atlanta,LargeHotel,2427.658988,5622.340656,9224.013031
Atlanta,LargeOffice,3624.593975,192.7164525,3817.310427
Atlanta,MediumOffice,49.00635733,29.62182675,78.62818408
Atlanta,MidriseApartment,718.9316697,238.9315749,957.8632446
Atlanta,Outpatient,3186.250588,37.9759973,3402.858948
Atlanta,PrimarySchool,931.7212451,148.8362119,1302.669212
Atlanta,RetailStore,627.2489826,0,627.2489826
Atlanta,SecondarySchool,3968.493642,372.2083434,4675.653065
Atlanta,SmallHotel,202.2612422,337.2688069,719.1212769
Atlanta,SmallOffice,42.74797302,10.65138846,53.39936148
Atlanta,StripMall,615.2240506,0,615.2240506
Atlanta,Supermarket,1880.530449,21.71038069,2090.975393
Atlanta,Warehouse,930.9449202,0,930.9449202
Atlanta,FlatLoad,1888.856302,494.7735263,2687.32832
Baltimore,FastFoodRest,305.2671204,78.2191761,917.9723327
Baltimore,FullServiceRest,657.1337578,240.338156,1656.597433
Baltimore,Hospital,11253.61694,681.9322322,13223.07912
Baltimore,LargeHotel,3731.025462,6358.710286,11263.74914
Baltimore,LargeOffice,5109.311943,217.7306132,5327.042556
Baltimore,MediumOffice,116.8101842,32.52815422,149.3383384
Baltimore,MidriseApartment,1132.964052,270.1195541,1403.083606
Baltimore,Outpatient,3285.227941,41.96148216,3505.821786
Baltimore,PrimarySchool,1428.239177,165.3116185,1815.662551
Baltimore,RetailStore,1068.034778,0,1068.034778
Baltimore,SecondarySchool,6557.634924,417.9512972,7310.5373
Baltimore,SmallHotel,346.3683857,373.906416,899.8660294
Baltimore,SmallOffice,63.29818348,10.94554028,74.24372375
Baltimore,StripMall,1075.39546,0,1075.39546
Baltimore,Supermarket,2929.182261,23.15795696,3141.074781
Baltimore,Warehouse,1568.722061,0,1568.722061
Baltimore,FlatLoad,2539.26454,557.0507802,3400.013812
Boulder,FastFoodRest,306.8980525,83.95201542,925.3361041
Boulder,FullServiceRest,642.8843574,259.3997752,1661.409652
Boulder,Hospital,9169.381845,737.372005,11194.2838
Boulder,LargeHotel,3975.108002,6971.32924,12120.45063
Boulder,LargeOffice,5027.882454,238.572519,5266.454972
Boulder,MediumOffice,124.2691306,34.9486709,159.2178015
Boulder,MidriseApartment,1098.944993,296.0647099,1395.009703
Boulder,Outpatient,3087.969786,45.31437164,3311.91652
Boulder,PrimarySchool,1356.396807,178.3378526,1756.846415
Boulder,RetailStore,1086.918757,0,1086.918757
Boulder,SecondarySchool,6268.036872,453.228537,7056.216488
Boulder,SmallHotel,342.778001,404.4154946,926.7847234
Boulder,SmallOffice,65.95714912,11.18970855,77.14685767
Boulder,StripMall,1093.093638,0,1093.093638
Boulder,Supermarket,2966.790122,24.3650532,3179.889739
Boulder,Warehouse,1704.864821,0,1704.864821
Boulder,FlatLoad,2394.885924,608.6556221,3307.240039
Chicago,FastFoodRest,441.93439,84.2645196,1060.684946
Chicago,FullServiceRest,888.3312571,260.4454844,1907.90226
Chicago,Hospital,12329.57943,740.4172516,14357.52663
Chicago,LargeHotel,5104.848129,7005.083356,13283.94487
Chicago,LargeOffice,7706.028917,239.7065959,7945.735513
Chicago,MediumOffice,216.014118,35.08184587,251.0959639
Chicago,MidriseApartment,1482.040156,297.4938584,1779.534015
Chicago,Outpatient,3506.538109,45.49600079,3730.666472
Chicago,PrimarySchool,2006.000212,179.4639347,2407.575902
Chicago,RetailStore,1472.870438,0,1472.870438
Chicago,SecondarySchool,8962.172873,456.8817409,9754.005693
Chicago,SmallHotel,479.4653436,406.0751832,1065.131755
Chicago,SmallOffice,94.19308949,11.2033023,105.3963918
